"x" "y"
"cell838" 27 11
"cell839" 27 12
"cell840" 27 13
"cell841" 27 14
"cell842" 27 15
"cell843" 27 16
"cell844" 27 17
"cell845" 27 18
"cell846" 27 19
"cell847" 27 20
"cell848" 27 21
"cell849" 27 22
"cell850" 28 7
"cell851" 28 5
"cell852" 28 4
"cell853" 28 3
"cell854" 28 6
"cell855" 28 9
"cell856" 28 8
"cell857" 28 1
"cell858" 28 2
"cell859" 28 10
"cell860" 28 11
"cell861" 28 12
"cell862" 28 13
"cell863" 28 14
"cell864" 28 15
"cell865" 28 16
"cell866" 28 17
"cell867" 28 18
"cell868" 28 19
"cell869" 28 20
"cell870" 28 21
"cell871" 29 7
"cell872" 29 4
"cell873" 29 8
"cell874" 29 9
"cell875" 29 10
"cell876" 29 5
"cell877" 29 6
"cell878" 29 2
"cell879" 29 3
"cell880" 29 1
"cell881" 29 11
"cell882" 29 13
"cell883" 29 14
"cell884" 29 12
"cell885" 29 15
"cell886" 29 17
"cell887" 29 18
"cell888" 29 16
"cell889" 29 20
"cell890" 30 8
"cell891" 30 7
"cell892" 30 6
"cell893" 30 5
"cell894" 30 4
"cell895" 30 9
"cell896" 30 2
"cell897" 30 3
"cell898" 30 1
"cell899" 30 11
"cell900" 30 10
"cell901" 30 12
"cell902" 30 13
"cell903" 30 14
"cell904" 30 15
"cell905" 30 18
"cell906" 30 16
"cell907" 30 20
"cell908" 31 7
"cell909" 31 6
"cell910" 31 8
"cell911" 31 3
"cell912" 31 2
"cell913" 31 5
"cell914" 31 1
"cell915" 31 4
"cell916" 31 9
"cell917" 31 10
"cell918" 31 11
"cell919" 31 12
"cell920" 31 13
"cell921" 31 14
"cell922" 31 15
"cell923" 32 6
"cell924" 32 8
"cell925" 32 7
"cell926" 32 3
"cell927" 32 5
"cell928" 32 1
"cell929" 32 9
"cell930" 32 10
"cell931" 32 2
"cell932" 32 4
"cell933" 32 12
"cell934" 32 11
"cell935" 32 13
"cell936" 32 14
"cell937" 32 15
"cell938" 32 16
"cell939" 33 6
"cell940" 33 5
"cell941" 33 7
"cell942" 33 8
"cell943" 33 9
"cell944" 33 1
"cell945" 33 3
"cell946" 33 2
"cell947" 33 10
"cell948" 33 4
"cell949" 33 11
"cell950" 33 12
"cell951" 33 13
"cell952" 33 14
"cell953" 34 9
"cell954" 34 10
"cell955" 34 5
"cell956" 34 7
"cell957" 34 6
"cell958" 34 4
"cell959" 34 3
"cell960" 34 11
"cell961" 34 1
"cell962" 34 8
"cell963" 34 2
"cell964" 34 12
"cell965" 34 14
"cell966" 34 13
"cell967" 35 5
"cell968" 35 6
"cell969" 35 7
"cell970" 35 4
"cell971" 35 9
"cell972" 35 10
"cell973" 35 3
"cell974" 35 11
"cell975" 35 8
"cell976" 35 2
"cell977" 35 1
"cell978" 35 13
"cell979" 35 14
"cell980" 36 6
"cell981" 36 5
"cell982" 36 10
"cell983" 36 7
"cell984" 36 8
"cell985" 36 11
"cell986" 36 4
"cell987" 36 9
"cell988" 36 12
"cell989" 37 6
"cell990" 37 7
"cell991" 37 10
"cell992" 37 11
"cell993" 37 8
"cell994" 37 5
"cell995" 37 9
"cell996" 38 6
"cell997" 38 7
"cell998" 38 8
"cell999" 38 11
"cell1000" 39 6
