"pop" "depth" "cell.type" "cell.type.idx" "cell_type"
"cell57" "2_1" 0.943943943943944 "2_1_2" 2 "1"
"cell58" "2_1" 0.942942942942943 "2_1_2" 2 "1"
"cell59" "2_1" 0.941941941941942 "2_1_2" 2 "1"
"cell60" "2_1" 0.940940940940941 "2_1_2" 2 "1"
"cell61" "2_1" 0.93993993993994 "2_1_2" 2 "1"
"cell62" "2_1" 0.938938938938939 "2_1_2" 2 "1"
"cell63" "2_1" 0.937937937937938 "2_1_2" 2 "1"
"cell64" "2_1" 0.936936936936937 "2_1_2" 2 "1"
"cell65" "2_1" 0.935935935935936 "2_1_2" 2 "1"
"cell66" "2_1" 0.934934934934935 "2_1_2" 2 "1"
"cell67" "2_1" 0.933933933933934 "2_1_2" 2 "1"
"cell68" "2_1" 0.932932932932933 "2_1_2" 2 "1"
"cell69" "2_1" 0.931931931931932 "2_1_2" 2 "1"
"cell70" "2_1" 0.930930930930931 "2_1_2" 2 "1"
"cell71" "2_1" 0.92992992992993 "2_1_2" 2 "1"
"cell72" "2_1" 0.928928928928929 "2_1_2" 2 "1"
"cell73" "2_1" 0.927927927927928 "2_1_2" 2 "1"
"cell74" "2_1" 0.926926926926927 "2_1_2" 2 "1"
"cell75" "2_1" 0.925925925925926 "2_1_2" 2 "1"
"cell76" "2_1" 0.924924924924925 "2_1_2" 2 "1"
"cell77" "2_1" 0.923923923923924 "2_1_2" 2 "1"
"cell78" "2_1" 0.922922922922923 "2_1_2" 2 "1"
"cell79" "2_1" 0.921921921921922 "2_1_2" 2 "1"
"cell80" "2_1" 0.920920920920921 "2_1_2" 2 "1"
"cell81" "2_1" 0.91991991991992 "2_1_2" 2 "1"
"cell82" "2_1" 0.918918918918919 "2_1_2" 2 "1"
"cell83" "2_1" 0.917917917917918 "2_1_2" 2 "1"
"cell84" "2_1" 0.916916916916917 "2_1_2" 2 "1"
"cell85" "2_1" 0.915915915915916 "2_1_2" 2 "1"
"cell86" "2_1" 0.914914914914915 "2_1_2" 2 "1"
"cell87" "2_1" 0.913913913913914 "2_1_2" 2 "1"
"cell88" "2_1" 0.912912912912913 "2_1_2" 2 "1"
"cell89" "2_1" 0.911911911911912 "2_1_2" 2 "1"
"cell90" "2_1" 0.910910910910911 "2_1_2" 2 "1"
"cell91" "2_1" 0.90990990990991 "2_1_2" 2 "1"
"cell92" "2_1" 0.908908908908909 "2_1_2" 2 "1"
"cell93" "2_1" 0.907907907907908 "2_1_2" 2 "1"
"cell94" "2_1" 0.906906906906907 "2_1_2" 2 "1"
"cell95" "2_1" 0.905905905905906 "2_1_2" 2 "1"
"cell96" "2_1" 0.904904904904905 "2_1_2" 2 "1"
"cell97" "2_1" 0.903903903903904 "2_1_2" 2 "1"
"cell98" "2_1" 0.902902902902903 "2_1_2" 2 "1"
"cell99" "2_1" 0.901901901901902 "2_1_2" 2 "1"
"cell100" "2_1" 0.900900900900901 "2_1_2" 2 "1"
"cell101" "2_1" 0.8998998998999 "2_1_2" 2 "1"
"cell102" "2_1" 0.898898898898899 "2_1_2" 2 "1"
"cell103" "2_1" 0.897897897897898 "2_1_2" 2 "1"
"cell104" "2_1" 0.896896896896897 "2_1_2" 2 "1"
"cell105" "2_1" 0.895895895895896 "2_1_2" 2 "1"
"cell106" "2_1" 0.894894894894895 "2_1_2" 2 "1"
"cell107" "2_1" 0.893893893893894 "2_1_2" 2 "1"
"cell108" "2_1" 0.892892892892893 "2_1_2" 2 "1"
"cell109" "2_1" 0.891891891891892 "2_1_2" 2 "1"
"cell110" "2_1" 0.890890890890891 "2_1_2" 2 "1"
"cell111" "2_1" 0.88988988988989 "2_1_2" 2 "1"
"cell112" "2_1" 0.888888888888889 "2_1_2" 2 "1"
"cell113" "2_1" 0.887887887887888 "2_1_2" 2 "1"
"cell114" "2_1" 0.886886886886887 "2_1_2" 2 "1"
"cell115" "2_1" 0.885885885885886 "2_1_2" 2 "1"
"cell116" "2_1" 0.884884884884885 "2_1_2" 2 "1"
"cell117" "2_1" 0.883883883883884 "2_1_2" 2 "1"
"cell118" "2_1" 0.882882882882883 "2_1_2" 2 "1"
"cell119" "2_1" 0.881881881881882 "2_1_2" 2 "1"
"cell120" "2_1" 0.880880880880881 "2_1_2" 2 "1"
"cell121" "2_1" 0.87987987987988 "2_1_2" 2 "1"
"cell122" "2_1" 0.878878878878879 "2_1_2" 2 "1"
"cell123" "2_1" 0.877877877877878 "2_1_2" 2 "1"
"cell124" "2_1" 0.876876876876877 "2_1_2" 2 "1"
"cell125" "2_1" 0.875875875875876 "2_1_2" 2 "1"
"cell126" "2_1" 0.874874874874875 "2_1_2" 2 "1"
"cell127" "2_1" 0.873873873873874 "2_1_2" 2 "1"
"cell128" "2_1" 0.872872872872873 "2_1_2" 2 "1"
"cell129" "2_1" 0.871871871871872 "2_1_2" 2 "1"
"cell130" "2_1" 0.870870870870871 "2_1_2" 2 "1"
"cell131" "2_1" 0.86986986986987 "2_1_2" 2 "1"
"cell132" "2_1" 0.868868868868869 "2_1_2" 2 "1"
"cell133" "2_1" 0.867867867867868 "2_1_2" 2 "1"
"cell134" "2_1" 0.866866866866867 "2_1_2" 2 "1"
"cell135" "2_1" 0.865865865865866 "2_1_2" 2 "1"
"cell136" "2_1" 0.864864864864865 "2_1_2" 2 "1"
"cell137" "2_1" 0.863863863863864 "2_1_2" 2 "1"
"cell138" "2_1" 0.862862862862863 "2_1_2" 2 "1"
"cell139" "2_1" 0.861861861861862 "2_1_2" 2 "1"
"cell140" "2_1" 0.860860860860861 "2_1_2" 2 "1"
"cell141" "2_1" 0.85985985985986 "2_1_2" 2 "1"
"cell142" "2_1" 0.858858858858859 "2_1_2" 2 "1"
"cell143" "2_1" 0.857857857857858 "2_1_2" 2 "1"
"cell144" "2_1" 0.856856856856857 "2_1_2" 2 "1"
"cell145" "2_1" 0.855855855855856 "2_1_2" 2 "1"
"cell146" "2_1" 0.854854854854855 "2_1_2" 2 "1"
"cell147" "2_1" 0.853853853853854 "2_1_2" 2 "1"
"cell148" "2_1" 0.852852852852853 "2_1_2" 2 "1"
"cell149" "2_1" 0.851851851851852 "2_1_2" 2 "1"
"cell150" "2_1" 0.850850850850851 "2_1_2" 2 "1"
"cell151" "2_1" 0.84984984984985 "2_1_2" 2 "1"
"cell152" "2_1" 0.848848848848849 "2_1_2" 2 "1"
"cell153" "2_1" 0.847847847847848 "2_1_2" 2 "1"
"cell154" "2_1" 0.846846846846847 "2_1_2" 2 "1"
"cell155" "2_1" 0.845845845845846 "2_1_2" 2 "1"
"cell156" "2_1" 0.844844844844845 "2_1_2" 2 "1"
"cell157" "2_1" 0.843843843843844 "2_1_2" 2 "1"
"cell158" "2_1" 0.842842842842843 "2_1_2" 2 "1"
"cell159" "2_1" 0.841841841841842 "2_1_2" 2 "1"
"cell160" "2_1" 0.840840840840841 "2_1_2" 2 "1"
"cell161" "2_1" 0.83983983983984 "2_1_2" 2 "1"
"cell162" "2_1" 0.838838838838839 "2_1_2" 2 "1"
"cell163" "2_1" 0.837837837837838 "2_1_2" 2 "1"
"cell164" "2_1" 0.836836836836837 "2_1_2" 2 "1"
"cell165" "2_1" 0.835835835835836 "2_1_2" 2 "1"
"cell166" "2_1" 0.834834834834835 "2_1_2" 2 "1"
"cell167" "2_1" 0.833833833833834 "2_1_2" 2 "1"
"cell168" "2_1" 0.832832832832833 "2_1_2" 2 "1"
"cell169" "2_1" 0.831831831831832 "2_1_2" 2 "1"
"cell170" "2_1" 0.830830830830831 "2_1_2" 2 "1"
"cell171" "2_1" 0.82982982982983 "2_1_2" 2 "1"
"cell172" "2_1" 0.828828828828829 "2_1_2" 2 "1"
"cell173" "2_1" 0.827827827827828 "2_1_2" 2 "1"
"cell174" "2_1" 0.826826826826827 "2_1_2" 2 "1"
"cell175" "2_1" 0.825825825825826 "2_1_2" 2 "1"
"cell176" "2_1" 0.824824824824825 "2_1_2" 2 "1"
"cell177" "2_1" 0.823823823823824 "2_1_2" 2 "1"
"cell178" "2_1" 0.822822822822823 "2_1_2" 2 "1"
"cell179" "2_1" 0.821821821821822 "2_1_2" 2 "1"
"cell180" "2_1" 0.820820820820821 "2_1_2" 2 "1"
"cell181" "2_1" 0.81981981981982 "2_1_2" 2 "1"
"cell182" "2_1" 0.818818818818819 "2_1_2" 2 "1"
"cell183" "2_1" 0.817817817817818 "2_1_2" 2 "1"
"cell184" "2_1" 0.816816816816817 "2_1_2" 2 "1"
"cell185" "2_1" 0.815815815815816 "2_1_2" 2 "1"
"cell186" "2_1" 0.814814814814815 "2_1_2" 2 "1"
"cell187" "2_1" 0.813813813813814 "2_1_2" 2 "1"
"cell188" "2_1" 0.812812812812813 "2_1_2" 2 "1"
"cell189" "2_1" 0.811811811811812 "2_1_2" 2 "1"
"cell190" "2_1" 0.810810810810811 "2_1_2" 2 "1"
"cell191" "2_1" 0.80980980980981 "2_1_2" 2 "1"
"cell192" "2_1" 0.808808808808809 "2_1_2" 2 "1"
"cell193" "2_1" 0.807807807807808 "2_1_2" 2 "1"
"cell194" "2_1" 0.806806806806807 "2_1_2" 2 "1"
"cell195" "2_1" 0.805805805805806 "2_1_2" 2 "1"
"cell196" "2_1" 0.804804804804805 "2_1_2" 2 "1"
"cell197" "2_1" 0.803803803803804 "2_1_2" 2 "1"
"cell198" "2_1" 0.802802802802803 "2_1_2" 2 "1"
"cell199" "2_1" 0.801801801801802 "2_1_2" 2 "1"
"cell200" "2_1" 0.800800800800801 "2_1_2" 2 "1"
"cell201" "2_1" 0.7997997997998 "2_1_2" 2 "1"
"cell202" "2_1" 0.798798798798799 "2_1_2" 2 "1"
"cell203" "2_1" 0.797797797797798 "2_1_2" 2 "1"
"cell204" "2_1" 0.796796796796797 "2_1_2" 2 "1"
"cell205" "2_1" 0.795795795795796 "2_1_2" 2 "1"
"cell206" "2_1" 0.794794794794795 "2_1_2" 2 "1"
"cell207" "2_1" 0.793793793793794 "2_1_2" 2 "1"
"cell208" "2_1" 0.792792792792793 "2_1_2" 2 "1"
"cell209" "2_1" 0.791791791791792 "2_1_2" 2 "1"
"cell210" "2_1" 0.790790790790791 "2_1_2" 2 "1"
"cell211" "2_1" 0.78978978978979 "2_1_2" 2 "1"
"cell212" "2_1" 0.788788788788789 "2_1_2" 2 "1"
"cell213" "2_1" 0.787787787787788 "2_1_2" 2 "1"
"cell214" "2_1" 0.786786786786787 "2_1_2" 2 "1"
"cell215" "2_1" 0.785785785785786 "2_1_2" 2 "1"
"cell216" "2_1" 0.784784784784785 "2_1_2" 2 "1"
"cell217" "2_1" 0.783783783783784 "2_1_2" 2 "1"
"cell218" "2_1" 0.782782782782783 "2_1_2" 2 "1"
"cell219" "2_1" 0.781781781781782 "2_1_2" 2 "1"
"cell220" "2_1" 0.780780780780781 "2_1_2" 2 "1"
"cell221" "2_1" 0.77977977977978 "2_1_2" 2 "1"
"cell222" "2_1" 0.778778778778779 "2_1_2" 2 "1"
"cell223" "2_1" 0.777777777777778 "2_1_2" 2 "1"
"cell224" "2_1" 0.776776776776777 "2_1_2" 2 "1"
"cell225" "2_1" 0.775775775775776 "2_1_2" 2 "1"
"cell226" "2_1" 0.774774774774775 "2_1_2" 2 "1"
"cell227" "2_1" 0.773773773773774 "2_1_2" 2 "1"
"cell228" "2_1" 0.772772772772773 "2_1_2" 2 "1"
"cell229" "2_1" 0.771771771771772 "2_1_2" 2 "1"
"cell230" "2_1" 0.770770770770771 "2_1_2" 2 "1"
"cell231" "2_1" 0.76976976976977 "2_1_2" 2 "1"
"cell232" "2_1" 0.768768768768769 "2_1_2" 2 "1"
"cell233" "2_1" 0.767767767767768 "2_1_2" 2 "1"
"cell234" "2_1" 0.766766766766767 "2_1_2" 2 "1"
"cell235" "2_1" 0.765765765765766 "2_1_2" 2 "1"
"cell236" "2_1" 0.764764764764765 "2_1_2" 2 "1"
"cell237" "2_1" 0.763763763763764 "2_1_2" 2 "1"
"cell238" "2_1" 0.762762762762763 "2_1_2" 2 "1"
"cell239" "2_1" 0.761761761761762 "2_1_2" 2 "1"
"cell240" "2_1" 0.760760760760761 "2_1_2" 2 "1"
"cell241" "2_1" 0.75975975975976 "2_1_2" 2 "1"
"cell242" "2_1" 0.758758758758759 "2_1_2" 2 "1"
"cell243" "2_1" 0.757757757757758 "2_1_2" 2 "1"
"cell244" "2_1" 0.756756756756757 "2_1_2" 2 "1"
"cell245" "2_1" 0.755755755755756 "2_1_2" 2 "1"
"cell246" "2_1" 0.754754754754755 "2_1_2" 2 "1"
"cell247" "2_1" 0.753753753753754 "2_1_2" 2 "1"
"cell248" "2_1" 0.752752752752753 "2_1_2" 2 "1"
"cell249" "2_1" 0.751751751751752 "2_1_2" 2 "1"
"cell250" "2_1" 0.750750750750751 "2_1_2" 2 "1"
"cell251" "2_1" 0.74974974974975 "2_1_2" 2 "1"
"cell252" "2_1" 0.748748748748749 "2_1_2" 2 "1"
"cell253" "2_1" 0.747747747747748 "2_1_2" 2 "1"
"cell254" "2_1" 0.746746746746747 "2_1_2" 2 "1"
"cell255" "2_1" 0.745745745745746 "2_1_2" 2 "1"
"cell256" "2_1" 0.744744744744745 "2_1_2" 2 "1"
"cell257" "2_1" 0.743743743743744 "2_1_2" 2 "1"
"cell258" "2_1" 0.742742742742743 "2_1_2" 2 "1"
"cell259" "2_1" 0.741741741741742 "2_1_2" 2 "1"
"cell260" "2_1" 0.740740740740741 "2_1_2" 2 "1"
"cell261" "2_1" 0.73973973973974 "2_1_2" 2 "1"
"cell262" "2_1" 0.738738738738739 "2_1_2" 2 "1"
"cell263" "2_1" 0.737737737737738 "2_1_2" 2 "1"
"cell264" "2_1" 0.736736736736737 "2_1_2" 2 "1"
"cell265" "2_1" 0.735735735735736 "2_1_2" 2 "1"
"cell266" "2_1" 0.734734734734735 "2_1_2" 2 "1"
"cell267" "2_1" 0.733733733733734 "2_1_2" 2 "1"
"cell268" "2_1" 0.732732732732733 "2_1_2" 2 "1"
"cell269" "2_1" 0.731731731731732 "2_1_2" 2 "1"
"cell270" "2_1" 0.730730730730731 "2_1_2" 2 "1"
"cell271" "2_1" 0.72972972972973 "2_1_2" 2 "1"
"cell272" "2_1" 0.728728728728729 "2_1_2" 2 "1"
"cell273" "2_1" 0.727727727727728 "2_1_2" 2 "1"
"cell274" "2_1" 0.726726726726727 "2_1_2" 2 "1"
"cell275" "2_1" 0.725725725725726 "2_1_2" 2 "1"
"cell276" "2_1" 0.724724724724725 "2_1_2" 2 "1"
"cell277" "2_1" 0.723723723723724 "2_1_2" 2 "1"
"cell278" "2_1" 0.722722722722723 "2_1_2" 2 "1"
"cell279" "2_1" 0.721721721721722 "2_1_2" 2 "1"
"cell280" "2_1" 0.720720720720721 "2_1_2" 2 "1"
"cell281" "2_1" 0.71971971971972 "2_1_2" 2 "1"
"cell282" "2_1" 0.718718718718719 "2_1_2" 2 "1"
"cell283" "2_1" 0.717717717717718 "2_1_2" 2 "1"
"cell284" "2_1" 0.716716716716717 "2_1_2" 2 "1"
"cell285" "2_1" 0.715715715715716 "2_1_2" 2 "1"
"cell286" "2_1" 0.714714714714715 "2_1_2" 2 "1"
"cell287" "2_1" 0.713713713713714 "2_1_2" 2 "1"
"cell288" "2_1" 0.712712712712713 "2_1_2" 2 "1"
"cell289" "2_1" 0.711711711711712 "2_1_2" 2 "1"
"cell290" "2_1" 0.710710710710711 "2_1_2" 2 "1"
"cell291" "2_1" 0.70970970970971 "2_1_2" 2 "1"
"cell292" "2_1" 0.708708708708709 "2_1_2" 2 "1"
"cell293" "2_1" 0.707707707707708 "2_1_2" 2 "1"
"cell294" "2_1" 0.706706706706707 "2_1_2" 2 "1"
"cell295" "2_1" 0.705705705705706 "2_1_2" 2 "1"
"cell296" "2_1" 0.704704704704705 "2_1_2" 2 "1"
"cell297" "2_1" 0.703703703703704 "2_1_2" 2 "1"
"cell298" "2_1" 0.702702702702703 "2_1_2" 2 "1"
"cell299" "2_1" 0.701701701701702 "2_1_2" 2 "1"
"cell300" "2_1" 0.700700700700701 "2_1_2" 2 "1"
"cell301" "2_1" 0.6996996996997 "2_1_2" 2 "1"
"cell302" "2_1" 0.698698698698699 "2_1_2" 2 "1"
"cell303" "2_1" 0.697697697697698 "2_1_2" 2 "1"
"cell304" "2_1" 0.696696696696697 "2_1_2" 2 "1"
"cell305" "2_1" 0.695695695695696 "2_1_2" 2 "1"
"cell306" "2_1" 0.694694694694695 "2_1_2" 2 "1"
"cell307" "2_1" 0.693693693693694 "2_1_2" 2 "1"
"cell308" "2_1" 0.692692692692693 "2_1_2" 2 "1"
"cell309" "2_1" 0.691691691691692 "2_1_2" 2 "1"
"cell310" "2_1" 0.690690690690691 "2_1_2" 2 "1"
"cell311" "2_1" 0.68968968968969 "2_1_2" 2 "1"
"cell312" "2_1" 0.688688688688689 "2_1_2" 2 "1"
"cell313" "2_1" 0.687687687687688 "2_1_2" 2 "1"
"cell314" "2_1" 0.686686686686687 "2_1_2" 2 "1"
"cell315" "2_1" 0.685685685685686 "2_1_2" 2 "1"
"cell316" "2_1" 0.684684684684685 "2_1_2" 2 "1"
"cell317" "2_1" 0.683683683683684 "2_1_2" 2 "1"
"cell318" "2_1" 0.682682682682683 "2_1_2" 2 "1"
"cell319" "2_1" 0.681681681681682 "2_1_2" 2 "1"
"cell320" "2_1" 0.680680680680681 "2_1_2" 2 "1"
"cell321" "2_1" 0.67967967967968 "2_1_2" 2 "1"
"cell322" "2_1" 0.678678678678679 "2_1_2" 2 "1"
"cell323" "2_1" 0.677677677677678 "2_1_2" 2 "1"
"cell324" "2_1" 0.676676676676677 "2_1_2" 2 "1"
"cell325" "2_1" 0.675675675675676 "2_1_2" 2 "1"
"cell326" "2_1" 0.674674674674675 "2_1_2" 2 "1"
"cell327" "2_1" 0.673673673673674 "2_1_2" 2 "1"
"cell328" "2_1" 0.672672672672673 "2_1_2" 2 "1"
"cell329" "2_1" 0.671671671671672 "2_1_2" 2 "1"
"cell330" "2_1" 0.670670670670671 "2_1_2" 2 "1"
"cell331" "2_1" 0.66966966966967 "2_1_2" 2 "1"
"cell332" "2_1" 0.668668668668669 "2_1_2" 2 "1"
"cell333" "2_1" 0.667667667667668 "2_1_2" 2 "1"
"cell334" "2_1" 0.666666666666667 "2_1_2" 2 "1"
"cell335" "2_1" 0.665665665665666 "2_1_2" 2 "1"
"cell336" "2_1" 0.664664664664665 "2_1_2" 2 "1"
"cell337" "2_1" 0.663663663663664 "2_1_2" 2 "1"
"cell338" "2_1" 0.662662662662663 "2_1_2" 2 "1"
"cell339" "2_1" 0.661661661661662 "2_1_2" 2 "1"
"cell340" "2_1" 0.660660660660661 "2_1_2" 2 "1"
"cell341" "2_1" 0.65965965965966 "2_1_2" 2 "1"
"cell342" "2_1" 0.658658658658659 "2_1_2" 2 "1"
"cell343" "2_1" 0.657657657657658 "2_1_2" 2 "1"
"cell344" "2_1" 0.656656656656657 "2_1_2" 2 "1"
"cell345" "2_1" 0.655655655655656 "2_1_2" 2 "1"
"cell346" "2_1" 0.654654654654655 "2_1_2" 2 "1"
"cell347" "2_1" 0.653653653653654 "2_1_2" 2 "1"
"cell348" "2_1" 0.652652652652653 "2_1_2" 2 "1"
"cell349" "2_1" 0.651651651651652 "2_1_2" 2 "1"
"cell350" "2_1" 0.650650650650651 "2_1_2" 2 "1"
"cell351" "2_1" 0.64964964964965 "2_1_2" 2 "1"
"cell352" "2_1" 0.648648648648649 "2_1_2" 2 "1"
"cell353" "2_1" 0.647647647647648 "2_1_2" 2 "1"
"cell354" "2_1" 0.646646646646647 "2_1_2" 2 "1"
"cell355" "2_1" 0.645645645645646 "2_1_2" 2 "1"
"cell356" "2_1" 0.644644644644645 "2_1_2" 2 "1"
"cell357" "2_1" 0.643643643643644 "2_1_2" 2 "1"
"cell358" "2_1" 0.642642642642643 "2_1_2" 2 "1"
"cell359" "2_1" 0.641641641641642 "2_1_2" 2 "1"
"cell360" "2_1" 0.640640640640641 "2_1_2" 2 "1"
"cell361" "2_1" 0.63963963963964 "2_1_2" 2 "1"
"cell362" "2_1" 0.638638638638639 "2_1_2" 2 "1"
"cell363" "2_1" 0.637637637637638 "2_1_2" 2 "1"
"cell364" "2_1" 0.636636636636637 "2_1_2" 2 "1"
"cell365" "2_1" 0.635635635635636 "2_1_2" 2 "1"
"cell366" "2_1" 0.634634634634635 "2_1_2" 2 "1"
"cell367" "2_1" 0.633633633633634 "2_1_2" 2 "1"
"cell368" "2_1" 0.632632632632633 "2_1_2" 2 "1"
"cell369" "2_1" 0.631631631631632 "2_1_2" 2 "1"
"cell370" "2_1" 0.630630630630631 "2_1_2" 2 "1"
"cell371" "2_1" 0.62962962962963 "2_1_2" 2 "1"
"cell372" "2_1" 0.628628628628629 "2_1_2" 2 "1"
"cell373" "2_1" 0.627627627627628 "2_1_2" 2 "1"
"cell374" "2_1" 0.626626626626627 "2_1_2" 2 "1"
"cell375" "2_1" 0.625625625625626 "2_1_2" 2 "1"
"cell376" "2_1" 0.624624624624625 "2_1_2" 2 "1"
"cell377" "2_1" 0.623623623623624 "2_1_2" 2 "1"
"cell378" "2_1" 0.622622622622623 "2_1_2" 2 "1"
"cell379" "2_1" 0.621621621621622 "2_1_2" 2 "1"
"cell380" "2_1" 0.620620620620621 "2_1_2" 2 "1"
"cell381" "2_1" 0.61961961961962 "2_1_2" 2 "1"
"cell382" "2_1" 0.618618618618619 "2_1_2" 2 "1"
"cell383" "2_1" 0.617617617617618 "2_1_2" 2 "1"
"cell384" "2_1" 0.616616616616617 "2_1_2" 2 "1"
"cell385" "2_1" 0.615615615615616 "2_1_2" 2 "1"
"cell386" "2_1" 0.614614614614615 "2_1_2" 2 "1"
"cell387" "2_1" 0.613613613613614 "2_1_2" 2 "1"
"cell388" "2_1" 0.612612612612613 "2_1_2" 2 "1"
"cell389" "2_1" 0.611611611611612 "2_1_2" 2 "1"
"cell390" "2_1" 0.610610610610611 "2_1_2" 2 "1"
"cell391" "2_1" 0.60960960960961 "2_1_2" 2 "1"
"cell392" "2_1" 0.608608608608609 "2_1_2" 2 "1"
"cell393" "2_1" 0.607607607607608 "2_1_2" 2 "1"
"cell394" "2_1" 0.606606606606607 "2_1_2" 2 "1"
"cell395" "2_1" 0.605605605605606 "2_1_2" 2 "1"
"cell396" "2_1" 0.604604604604605 "2_1_2" 2 "1"
"cell397" "2_1" 0.603603603603604 "2_1_2" 2 "1"
"cell398" "2_1" 0.602602602602603 "2_1_2" 2 "1"
"cell399" "2_1" 0.601601601601602 "2_1_2" 2 "1"
"cell400" "2_1" 0.600600600600601 "2_1_2" 2 "1"
"cell401" "2_1" 0.5995995995996 "2_1_2" 2 "1"
"cell402" "2_1" 0.598598598598599 "2_1_2" 2 "1"
"cell403" "2_1" 0.597597597597598 "2_1_2" 2 "1"
"cell404" "2_1" 0.596596596596597 "2_1_2" 2 "1"
"cell405" "2_1" 0.595595595595596 "2_1_2" 2 "1"
"cell406" "2_1" 0.594594594594595 "2_1_2" 2 "1"
"cell407" "2_1" 0.593593593593594 "2_1_2" 2 "1"
"cell408" "2_1" 0.592592592592593 "2_1_2" 2 "1"
"cell409" "2_1" 0.591591591591592 "2_1_2" 2 "1"
"cell410" "2_1" 0.590590590590591 "2_1_2" 2 "1"
"cell411" "2_1" 0.58958958958959 "2_1_2" 2 "1"
"cell412" "2_1" 0.588588588588589 "2_1_2" 2 "1"
"cell413" "2_1" 0.587587587587588 "2_1_2" 2 "1"
"cell414" "2_1" 0.586586586586587 "2_1_2" 2 "1"
"cell415" "2_1" 0.585585585585586 "2_1_2" 2 "1"
"cell416" "2_1" 0.584584584584585 "2_1_2" 2 "1"
"cell417" "2_1" 0.583583583583584 "2_1_2" 2 "1"
"cell418" "2_1" 0.582582582582583 "2_1_2" 2 "1"
"cell419" "2_1" 0.581581581581582 "2_1_2" 2 "1"
"cell420" "2_1" 0.580580580580581 "2_1_2" 2 "1"
"cell421" "2_1" 0.57957957957958 "2_1_2" 2 "1"
"cell422" "2_1" 0.578578578578579 "2_1_2" 2 "1"
